id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_coed,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time
375,"BHW-T10 3P C25, MCB, Three Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 3P C25,--,1628.4,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_BHW_T10_THREE_POLE_MCB.png,--,--,--,--,No. of poles,TP,Instantaneous tripping,Type C,Rated current In [A],25A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,54mm,92.6mm,44mm,0.39kg,1,--,--
376,"BHW-T10 3P C32, MCB, Three Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 3P C32,--,1628.4,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_BHW_T10_THREE_POLE_MCB.png,--,--,--,--,No. of poles,TP,Instantaneous tripping,Type C,Rated current In [A],32A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,54mm,92.6mm,44mm,0.39kg,1,--,--
377,"BHW-T10 3P C40, MCB, Three Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 3P C40,--,1628.4,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_BHW_T10_THREE_POLE_MCB.png,--,--,--,--,No. of poles,TP,Instantaneous tripping,Type C,Rated current In [A],40A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,54mm,92.6mm,44mm,0.39kg,1,--,--
378,"BHW-T10 3P C50, MCB, Three Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 3P C50,--,1628.4,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_BHW_T10_THREE_POLE_MCB.png,--,--,--,--,No. of poles,TP,Instantaneous tripping,Type C,Rated current In [A],50A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,54mm,92.6mm,44mm,0.39kg,1,--,--
379,"BHW-T10 3P C63, MCB, Three Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 3P C63,--,1628.4,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_BHW_T10_THREE_POLE_MCB.png,--,--,--,--,No. of poles,TP,Instantaneous tripping,Type C,Rated current In [A],63A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,54mm,92.6mm,44mm,0.39kg,1,--,--
380,"BHW-T10 4P C0.5, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C0.5,--,3115.2,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],0.5A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
381,"BHW-T10 4P C1, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C1,--,2902.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],1A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
382,"BHW-T10 4P C2, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C2,--,2902.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],2A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
383,"BHW-T10 4P C3, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C3,--,2902.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],3A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
384,"BHW-T10 4P C4, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C4,--,3445.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],4A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
385,"BHW-T10 4P C6, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C6,--,2194.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],6A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
386,"BHW-T10 4P C10, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C10,--,2194.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],10A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
387,"BHW-T10 4P C16, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C16,--,2194.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],16A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
388,"BHW-T10 4P C20, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C20,--,2194.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],20A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
389,"BHW-T10 4P C25, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C25,--,2194.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],25A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
390,"BHW-T10 4P C32, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C32,--,2194.8,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],32A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
391,"BHW-T10 4P C40, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C40,--,3209.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],40A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
392,"BHW-T10 4P C50, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C50,--,3209.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],50A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
393,"BHW-T10 4P C63, MCB, four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 4P C63,--,3209.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW_FOUR_POLE_MCB.png,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],63A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,72mm,92.6mm,44mm,0.52kg,1,--,--
394,"BHW-T10 1P D1, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D1,--,578.2,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],1A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
395,"BHW-T10 1P D2, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D2,--,578.2,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],2A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
396,"BHW-T10 1P D3, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D3,--,578.2,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],3A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
397,"BHW-T10 1P D4, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D4,--,578.2,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],4A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
398,"BHW-T10 1P D6, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D6,--,495.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],6A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
399,"BHW-T10 1P D10, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D10,--,495.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],10A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
400,"BHW-T10 1P D16, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D16,--,495.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],16A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
401,"BHW-T10 1P D20, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D20,--,495.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],20A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
402,"BHW-T10 1P D25, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D25,--,495.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],25A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
403,"BHW-T10 1P D32, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D32,--,495.6,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],32A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
404,"BHW-T10 1P D40, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D40,--,826,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],40A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
405,"BHW-T10 1P D50, MCB, Singal Pole Type D Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P D50,--,826,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,SP,Instantaneous tripping,Type D,Rated current In [A],50A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
